"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","otherlog"
"S1pr1",8.4851128404241e-121,0.877684930248038,0.588,0.21,1.2465479273867e-116,0.248356
"Hsp90ab1",3.64149601586653e-109,-0.549033205628244,0.942,0.994,5.34972179690952e-105,-0.56226
"Atp5b",6.93184189281761e-101,-0.554984980509215,0.825,0.971,1.01835689247384e-96,-0.400921
"Cd7",4.18948879807262e-100,0.474241484122922,0.242,0.031,6.15477799324849e-96,-1.44628
"Gzmb",5.50168282629067e-100,-1.28456997013127,0.23,0.683,8.08252224010362e-96,-5.59759
"Nme1",8.02875377933478e-99,-0.681603932723433,0.545,0.878,1.17950421772207e-94,-0.221188
"Hspa9",8.18303085043646e-93,-0.70495914789761,0.501,0.839,1.20216906223762e-88,-0.500791
"mmu-mir-6236",6.94179522579463e-90,0.717878102156451,1,1,1.01981913662149e-85,NA
"Pa2g4",1.82703872331839e-89,-0.67406272354791,0.576,0.864,2.68410258842704e-85,-0.901844
"Serbp1",4.76767407808923e-85,-0.498463586473485,0.879,0.976,7.00418998812089e-81,-0.288966
"Txnip",7.13380028918375e-84,0.74259196761727,0.703,0.401,1.04802660048399e-79,0.270481
"Sell",9.03349511924385e-84,0.862859328817319,0.545,0.22,1.32711076796811e-79,0.489384
"Hnrnpab",3.04174810085249e-83,-0.575170624509246,0.767,0.939,4.4686321349624e-79,-0.809607
"Cct3",3.2600111871482e-82,-0.604000705095955,0.504,0.831,4.78928243503942e-78,-0.284957
"Pde2a",9.5839030066656e-81,0.609056714216247,0.309,0.074,1.40797119070924e-76,1.08355
"Hmha1",4.24492016577954e-80,0.65653414970668,0.906,0.79,6.23621221554673e-76,NA
"Jak1",4.62586653492031e-80,0.650274786643122,0.936,0.883,6.79586052645143e-76,0.440837
"Rasa3",7.24506845457308e-80,0.749307839493729,0.645,0.335,1.06437300666133e-75,0.539684
"Gm26924",8.56239562161007e-80,0.317383627646542,1,1,1.25790154077074e-75,NA
"Tcp1",1.07216860349511e-79,-0.541799493495783,0.684,0.911,1.57512289539466e-75,-0.537813
"Ldha",1.81278059830797e-79,-0.518913962048027,0.84,0.978,2.66315597697424e-75,-0.784775
"Cct7",3.65676486772827e-78,-0.548246412679527,0.679,0.895,5.3721532671796e-74,-0.261982
"Eif5a",4.42598178616449e-76,-0.55879897171611,0.679,0.903,6.50220984205425e-72,-0.548705
"Txn1",7.36354018867812e-75,-0.545112799398928,0.63,0.895,1.0817776891187e-70,-0.215156
"Klrd1",9.42160586478575e-75,0.691580978359215,0.479,0.189,1.38412811759567e-70,-0.414824
"Arl5c",1.1773362089925e-74,0.72011109700241,0.566,0.263,1.72962462463088e-70,0.713736
"Ybx1",2.10966135100994e-74,-0.506203529013387,0.679,0.932,3.09930349076871e-70,-0.438407
"Canx",2.16825332828996e-74,-0.465372153527768,0.787,0.95,3.18538096459079e-70,0
"Malat1",2.46640489149976e-74,0.952911912893479,0.846,0.599,3.6233954261023e-70,1.68628
"Ncl",1.53418735622872e-72,-0.588604248758983,0.9,0.969,2.25387464503562e-68,-0.411839
"Prmt1",4.89502212015818e-71,-0.603509386847063,0.449,0.777,7.19127699672438e-67,-0.320936
"Cct2",7.47326713417033e-71,-0.431236533305868,0.834,0.957,1.09789767468096e-66,-0.292029
