"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","color","pval_plot","avg_logFC_plot"
"Itga4",8.70769594393141e-199,1.95304661974267,0.811,0.019,1.2589586795736e-194,"Itga4","b",1e-40,1
"Cybb",2.75550940783813e-53,0.591384916983105,0.303,0.015,3.98391550185237e-49,"Cybb","b",1e-40,0.591384916983105
"Satb1",1.21319605455099e-48,-0.908634073763581,0.074,0.397,1.75403885566982e-44,"Satb1","c",1e-40,-0.908634073763581
"Icos",3.85377722195593e-44,-0.82493181365806,0.77,0.866,5.57179110750389e-40,"Icos","c",5.57179110750389e-40,-0.82493181365806
"Nt5e",2.71471173009976e-42,0.476399887693623,0.474,0.129,3.92493021937824e-38,"Nt5e","b",3.92493021937824e-38,0.476399887693623
"Itgb1",4.19202001294285e-39,0.60496412229349,0.823,0.504,6.06082253471277e-35,"Itgb1","b",6.06082253471277e-35,0.60496412229349
"Nrp1",1.84286806024197e-37,0.510922112399925,0.589,0.226,2.66441864149785e-33,"Nrp1","b",2.66441864149785e-33,0.510922112399925
"Gimap4",8.27960158242025e-37,0.471903274266374,0.909,0.647,1.19706479678632e-32,"Gimap4","b",1.19706479678632e-32,0.471903274266374
"Gimap7",2.13593828399157e-36,0.490060194994632,0.589,0.229,3.08813957099501e-32,NA,"a",3.08813957099501e-32,0.490060194994632
"Tmsb4x",3.60683831822507e-35,0.368843036330653,0.994,0.962,5.21476684048981e-31,NA,"a",5.21476684048981e-31,0.368843036330653
"Sorl1",3.20438896195041e-33,0.408812359656863,0.314,0.064,4.6329055611879e-29,NA,"a",4.6329055611879e-29,0.408812359656863
"Gcnt1",6.6617918391728e-32,-0.70042993615066,0.089,0.335,9.63161864107604e-28,"Gcnt1","c",9.63161864107604e-28,-0.70042993615066
"Nkg7",3.51498305265547e-31,0.49469842137564,0.37,0.105,5.08196249752928e-27,NA,"a",5.08196249752928e-27,0.49469842137564
"Fgl2",1.01950783747809e-29,0.519230336493045,0.311,0.073,1.47400443142582e-25,"Fgl2","b",1.47400443142582e-25,0.519230336493045
"Ifngr1",1.58572665619521e-29,0.478430654940974,0.598,0.291,2.29264359952704e-25,"Ifngr1","b",2.29264359952704e-25,0.478430654940974
"Skil",2.27612045083641e-29,0.391353031912375,0.494,0.19,3.29081494781928e-25,NA,"a",3.29081494781928e-25,0.391353031912375
"Cxcr3",1.47184495968478e-27,0.356553491862047,0.559,0.243,2.12799344271226e-23,"Cxcr3","b",2.12799344271226e-23,0.356553491862047
"Itgae",8.69384631391573e-27,-0.931970873770113,0.118,0.346,1.25695630006594e-22,"Itgae","c",1.25695630006594e-22,-0.931970873770113
"Plin2",2.35257788597982e-26,0.27689009959237,0.255,0.052,3.40135710754963e-22,NA,"a",3.40135710754963e-22,0.27689009959237
"Zbtb32",3.27882317787807e-26,0.372827141168066,0.408,0.148,4.74052255057612e-22,NA,"a",4.74052255057612e-22,0.372827141168066
"AW112010",9.97622306620858e-24,0.32920703315243,0.636,0.308,1.44236233091244e-19,NA,"a",1.44236233091244e-19,0.32920703315243
"Crip1",2.35665726013891e-23,0.407763461961862,0.886,0.685,3.40725506670884e-19,NA,"a",3.40725506670884e-19,0.407763461961862
"Cpd",1.08237609868091e-21,0.338815045302438,0.447,0.2,1.56489936347286e-17,NA,"a",1.56489936347286e-17,0.338815045302438
"Cotl1",1.63318031887307e-21,0.314198212703406,0.959,0.8,2.36125210502668e-17,NA,"a",2.36125210502668e-17,0.314198212703406
"Ptpn22",1.89677894301968e-21,0.279101478412348,0.476,0.211,2.74236299581786e-17,NA,"a",2.74236299581786e-17,0.279101478412348
"Sept11",2.30119684711495e-21,0.356413231573563,0.764,0.474,3.3270704015588e-17,NA,"a",3.3270704015588e-17,0.356413231573563
"Atp5e",2.89759425855152e-21,0.25589445832771,0.594,0.303,4.18934177901379e-17,NA,"a",4.18934177901379e-17,0.25589445832771
"Adap1",1.52484423624628e-20,0.331946457908172,0.568,0.298,2.20461979676487e-16,NA,"a",2.20461979676487e-16,0.331946457908172
"Rps20",1.72880478149279e-20,0.264373532102272,0.967,0.861,2.49950595308228e-16,NA,"a",2.49950595308228e-16,0.264373532102272
"Gimap6",2.29657438493161e-20,0.291328938098514,0.627,0.331,3.32038724573412e-16,"Gimap6","b",3.32038724573412e-16,0.291328938098514
"Cox17",5.4598997370221e-20,0.246462683437754,0.283,0.091,7.89392303978656e-16,NA,"a",7.89392303978656e-16,0.246462683437754
"Tuba1c",6.67128978531304e-20,0.336669584376385,0.679,0.415,9.6453507716056e-16,NA,"a",9.6453507716056e-16,0.336669584376385
"Atp5k",1.04881736265397e-19,0.232598474579332,0.436,0.19,1.51638014292511e-15,NA,"a",1.51638014292511e-15,0.232598474579332
"Rps27",1.65975045434625e-19,0.262393325067028,0.682,0.392,2.39966720689382e-15,NA,"a",2.39966720689382e-15,0.262393325067028
"Acp5",1.90112271095256e-19,0.170012435193895,0.258,0.072,2.74864321549521e-15,NA,"a",2.74864321549521e-15,0.170012435193895
"Elk3",2.8173385313449e-19,0.233500271004215,0.276,0.088,4.07330804861846e-15,NA,"a",4.07330804861846e-15,0.233500271004215
"mt-Rnr1",5.04778348750536e-19,0.175048896078061,1,1,7.29808536623525e-15,NA,"a",7.29808536623525e-15,0.175048896078061
"St6gal1",1.14221798747533e-18,-0.557826985601816,0.088,0.257,1.65141876629184e-14,NA,"a",1.65141876629184e-14,-0.557826985601816
"Atp5j2",1.34144399789036e-18,0.265954639513058,0.808,0.525,1.93945973214989e-14,NA,"a",1.93945973214989e-14,0.265954639513058
