"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ahnak",2.68869683445e-261,-1.2591290609922,0.349,0.781,3.8873178832478e-257,"0","Ahnak"
"Vim",6.78480004975932e-245,-1.12496616238808,0.566,0.876,9.80946391194202e-241,"0","Vim"
"Mki67",4.20523654398991e-240,-1.56465074820983,0.231,0.667,6.07993099530062e-236,"0","Mki67"
"Lgals1",4.97042332461514e-239,-1.48380894718149,0.41,0.766,7.18623804272857e-235,"0","Lgals1"
"S100a10",3.15376858300371e-225,-1.08631144709841,0.426,0.772,4.55971861730676e-221,"0","S100a10"
"Maf",5.94821852315943e-222,-1.17026175315938,0.088,0.527,8.5999343407839e-218,"0","Maf"
"Icos",5.54647639578912e-217,-1.32127518147034,0.25,0.669,8.01909557303191e-213,"0","Icos"
"Ighm",2.19423253934019e-190,-0.981286128174461,0.298,0.697,3.17242140537804e-186,"0","Ighm"
"S100a4",1.23092546857303e-189,-1.3939009996263,0.031,0.405,1.77967204246289e-185,"0","S100a4"
"Hmgb2",3.17797510460554e-179,-1.0251072376994,0.303,0.649,4.5947164062387e-175,"0","Hmgb2"
"Ly6a",2.0780506522366e-174,-1.12538708219368,0.139,0.525,3.00444563300368e-170,"0","Ly6a"
"S100a6",3.33984959682988e-169,-1.0374075722399,0.038,0.386,4.82875454709663e-165,"0","S100a6"
"Ccna2",1.27798636517535e-168,-0.976429578035901,0.107,0.469,1.84771268677053e-164,"0","Ccna2"
"Serinc3",2.97807852296103e-166,-0.797634210369223,0.34,0.689,4.30570592849706e-162,"0","Serinc3"
"Birc5",3.06333749201596e-155,-0.813117512097752,0.075,0.414,4.42897334595667e-151,"0","Birc5"
"Racgap1",1.48216518066473e-154,-0.848865579747928,0.103,0.448,2.14291441820506e-150,"0","Racgap1"
"Hist1h1d",8.10209930945673e-152,-1.21422734069491,0.117,0.454,1.17140151816125e-147,"0","Hist1h1d"
"Anxa2",1.59041203866057e-150,-1.10682531209985,0.104,0.443,2.29941772549546e-146,"0","Anxa2"
"Kif11",3.88644910823875e-150,-0.990272557774281,0.094,0.429,5.61902812069159e-146,"0","Kif11"
"Top2a",5.53382433916718e-148,-1.31735518797178,0.287,0.597,8.00080322956792e-144,"0","Top2a"
"Hist1h1b",1.73466893664952e-146,-1.07462008961538,0.087,0.416,2.50798434860788e-142,"0","Hist1h1b"
"Lad1",8.61813604849838e-145,0.97838773472042,0.312,0.053,1.2460101098919e-140,"0","Lad1"
"Tpx2",5.1189892061702e-142,-0.891730092864399,0.083,0.403,7.40103459428088e-138,"0","Tpx2"
"Anxa6",1.34691422579872e-141,-0.721618058940986,0.561,0.798,1.94736858765978e-137,"0","Anxa6"
"Hist1h1e",1.23485288395618e-138,-1.00912082978302,0.132,0.451,1.78535029962384e-134,"0","Hist1h1e"
"Arl6ip1",2.51034311672688e-131,-0.813546589432253,0.51,0.744,3.62945407816372e-127,"0","Arl6ip1"
"Cdc25b",2.66688943788488e-131,-0.841373554522318,0.08,0.386,3.85578874929396e-127,"0","Cdc25b"
"Lbr",4.18106285299281e-129,-0.697594801800877,0.343,0.639,6.044980672857e-125,"0","Lbr"
"Incenp",7.6940202212172e-126,-0.812539128439761,0.135,0.443,1.11240144358358e-121,"0","Incenp"
"Mdn1",2.76884789908106e-119,0.761696511534752,0.548,0.266,4.0032002924914e-115,"0","Mdn1"
"Cenpf",1.87243570321813e-118,-0.841626892913595,0.051,0.324,2.70716753971278e-114,"0","Cenpf"
"Cdca8",7.92799030025004e-116,-0.693762979527674,0.101,0.391,1.14622883761015e-111,"0","Cdca8"
"Ccnb2",8.31893690362833e-116,-0.604000347333454,0.044,0.311,1.20275189752658e-111,"0","Ccnb2"
"Cdca3",2.50805798714339e-115,-0.638431012189805,0.058,0.329,3.62615023781192e-111,"0","Cdca3"
"Mybbp1a",1.46894201002215e-114,0.711846861373934,0.639,0.375,2.12379635809002e-110,"0","Mybbp1a"
"Lgals3",1.1366674355016e-112,-1.00132569853564,0.011,0.25,1.64339377824821e-108,"0","Lgals3"
"Crip1",1.65278179802219e-112,-0.843399435552335,0.384,0.645,2.38959192358048e-108,"0","Crip1"
"Kif15",1.00748980879604e-111,-0.652393822891482,0.088,0.368,1.45662876555731e-107,"0","Kif15"
