"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Malat1",0,0.623057163562856,0.962,0.808,0
"mmu-mir-6236",0,0.481013795958908,1,1,0
"mt-Rnr1",0,0.31350623159664,1,1,0
"Gm26924",0,0.291855459537348,1,1,0
"mt-Rnr2",0,0.259783652539656,1,1,0
"Trip13",0,-0.267554774477332,0.006,0.145,0
"Esco2",0,-0.294711915159566,0.001,0.139,0
"Aurkb",0,-0.298664712662304,0.004,0.14,0
"Stil",0,-0.299118951286581,0.004,0.141,0
"Kif2c",0,-0.304302313707827,0.004,0.14,0
"Shcbp1",0,-0.304764607810011,0.003,0.146,0
"Gins2",0,-0.304858889580905,0.015,0.172,0
"Cdca5",0,-0.305211440100978,0.005,0.154,0
"Bard1",0,-0.306522274959567,0.009,0.157,0
"Ccnb1",0,-0.3194854923025,0.004,0.147,0
"Ect2",0,-0.320982883450851,0.008,0.151,0
"Foxm1",0,-0.322780469422523,0.006,0.154,0
"Espl1",0,-0.324500039226341,0.004,0.145,0
"Cdca2",0,-0.332243894986563,0.005,0.149,0
"Plk4",0,-0.337004456776782,0.02,0.191,0
"Melk",0,-0.338180615175576,0.01,0.171,0
"Cep55",0,-0.341280314865839,0.004,0.166,0
"Hist1h2ak",0,-0.344722376807547,0.008,0.155,0
"Ccnf",0,-0.347517982685052,0.004,0.153,0
"Actb",0,-0.350219209931203,0.999,1,0
"Spag5",0,-0.355648957497496,0.005,0.164,0
"Atad5",0,-0.361758621330378,0.025,0.198,0
"Nek2",0,-0.366576321005826,0.004,0.165,0
"Pmf1",0,-0.373263591884033,0.038,0.23,0
"Knstrn",0,-0.373505179432809,0.018,0.189,0
"E2f8",0,-0.374299314746901,0.003,0.163,0
"Rfc4",0,-0.374883585513499,0.03,0.221,0
"Bub1",0,-0.374987579540653,0.004,0.173,0
"Wdhd1",0,-0.379795979056194,0.028,0.217,0
"Brca1",0,-0.383580253835025,0.01,0.178,0
"Cdc6",0,-0.383631921820122,0.005,0.17,0
"Diap3",0,-0.38434682972053,0.017,0.19,0
"Dhfr",0,-0.388035113698431,0.017,0.199,0
"Cit",0,-0.389860002691255,0.008,0.174,0
"Kpna2",0,-0.392720272763697,0.018,0.181,0
"Slbp",0,-0.394997953570583,0.054,0.263,0
"Tfdp1",0,-0.396033766051992,0.047,0.25,0
"Mxd3",0,-0.39799995291218,0.003,0.164,0
"Hist1h1a",0,-0.401193131348203,0.01,0.161,0
"Nuf2",0,-0.40245957446465,0.004,0.188,0
"Cdk1",0,-0.404452011815239,0.012,0.19,0
"Tipin",0,-0.405684943153882,0.037,0.246,0
"Rfc5",0,-0.408070295702555,0.037,0.244,0
"Myo1f",0,-0.421850179390233,0.01,0.163,0
"Cdc20",0,-0.423532061889273,0.008,0.17,0
"Tcf19",0,-0.427232868274545,0.018,0.208,0
"Mad2l1",0,-0.427949623693791,0.019,0.226,0
"Prdx4",0,-0.428113661697276,0.049,0.266,0
"Mcm10",0,-0.429305455985085,0.004,0.197,0
"Fbxo5",0,-0.430447038564166,0.024,0.217,0
"Fignl1",0,-0.432028181685773,0.008,0.217,0
"Kntc1",0,-0.436772443514611,0.005,0.193,0
"Ppil1",0,-0.437031459247336,0.067,0.291,0
"Ndc80",0,-0.438623828973669,0.016,0.206,0
"Prim1",0,-0.453821153856314,0.023,0.241,0
"Acot7",0,-0.455034224657082,0.079,0.317,0
"Dlgap5",0,-0.456039811246577,0.016,0.215,0
"Dtl",0,-0.458827702232428,0.012,0.214,0
"C330027C09Rik",0,-0.464542116123163,0.015,0.217,0
"Spc24",0,-0.46533969461298,0.006,0.223,0
"Ckap2l",0,-0.469261388844712,0.004,0.192,0
"Plk1",0,-0.469299334704887,0.005,0.19,0
"Cdca7",0,-0.471447450043801,0.047,0.267,0
"Kif22",0,-0.477581652952493,0.007,0.2,0
"Gmnn",0,-0.480739175982293,0.025,0.255,0
"Rad51",0,-0.481527952148216,0.007,0.221,0
"Ccnb2",0,-0.483524742192465,0.007,0.21,0
"Lrrc59",0,-0.48415778950987,0.077,0.309,0
"Ube2c",0,-0.485179189896153,0.006,0.177,0
"Kif23",0,-0.486085630777569,0.008,0.202,0
"Arhgap11a",0,-0.486942220919158,0.023,0.23,0
"Hist1h2ae",0,-0.491751627565562,0.009,0.195,0
"Hmmr",0,-0.494880604486786,0.002,0.191,0
"Tk1",0,-0.497141912737853,0.016,0.236,0
"2700094K13Rik",0,-0.517635713087539,0.094,0.344,0
"Hist1h2ab",0,-0.524042537726586,0.005,0.195,0
"Kif4",0,-0.525730029922947,0.006,0.214,0
