test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
1500009L16Rik	1500009L16Rik	1500009L16Rik	chr10:83722864-83762762	SQ	IV	OK	53.8518	14.6052	-1.88251	-3.95906	5.00E-05	0.00109214	yes
1700017B05Rik	1700017B05Rik	1700017B05Rik	chr9:57252321-57262599	SQ	IV	OK	6.84641	13.8506	1.01653	2.53906	5.00E-05	0.00109214	yes
2610035D17Rik	2610035D17Rik	2610035D17Rik	chr11:113043905-113201838	SQ	IV	OK	10.2796	26.7266	1.3785	2.96271	5.00E-05	0.00109214	yes
2900097C17Rik	2900097C17Rik	2900097C17Rik	chr2:156388062-156392979	SQ	IV	OK	10.5015	4.98871	-1.07386	-2.47595	5.00E-05	0.00109214	yes
5830411N06Rik	5830411N06Rik	5830411N06Rik	chr7:140247300-140299791	SQ	IV	OK	7.26116	1.89127	-1.94085	-2.8912	5.00E-05	0.00109214	yes
A430093F15Rik	A430093F15Rik	A430093F15Rik	chr19:10740946-10786043	SQ	IV	OK	12.5127	24.3872	0.962734	2.23726	5.00E-05	0.00109214	yes
A530021J07Rik	A530021J07Rik	A530021J07Rik	chr7:83148469-83179438	SQ	IV	OK	3.08712	18.2655	2.56478	3.53446	5.00E-05	0.00109214	yes
AW112010	AW112010	AW112010	chr19:11047611-11050566	SQ	IV	OK	972.006	1637.01	0.752026	2.37828	5.00E-05	0.00109214	yes
Abcb9	Abcb9	Abcb9	chr5:124061856-124095798	SQ	IV	OK	21.2965	39.2209	0.881006	2.46696	5.00E-05	0.00109214	yes
Abcg3	Abcg3	Abcg3	chr5:104935056-104982717	SQ	IV	OK	6.05427	13.8735	1.19631	2.55164	5.00E-05	0.00109214	yes
Abhd8	Abhd8	Abhd8	chr8:71456699-71463657	SQ	IV	OK	56.6382	97.9558	0.790356	2.33809	5.00E-05	0.00109214	yes
Abi3	Abi3	Abi3	chr11:95824499-95845731	SQ	IV	OK	6.7776	18.4772	1.4469	3.18984	5.00E-05	0.00109214	yes
Acap1	Acap1	Acap1	chr11:69881566-69895539	SQ	IV	OK	121.466	215.987	0.830387	2.61699	5.00E-05	0.00109214	yes
Acp5	Acp5	Acp5	chr9:22126726-22135746	SQ	IV	OK	67.7697	299.843	2.1455	6.2578	5.00E-05	0.00109214	yes
Adck2	Adck2	Adck2	chr6:39573875-39588769	SQ	IV	OK	12.1959	22.7799	0.90136	2.32872	5.00E-05	0.00109214	yes
Afg3l1	Afg3l1	Afg3l1	chr8:123477861-123503916	SQ	IV	OK	31.2122	17.9015	-0.802032	-2.22923	5.00E-05	0.00109214	yes
Agfg1	Agfg1	Agfg1	chr1:82839459-82901001	SQ	IV	OK	48.5578	26.0372	-0.899131	-2.82099	5.00E-05	0.00109214	yes
Agfg2	Agfg2	Agfg2	chr5:137650480-137684753	SQ	IV	OK	21.4615	10.3687	-1.04952	-2.46037	5.00E-05	0.00109214	yes
Agps	Agps	Agps	chr2:75832176-75931350	SQ	IV	OK	17.0686	10.0553	-0.763388	-2.17221	5.00E-05	0.00109214	yes
Ahcy	Ahcy	Ahcy	chr2:155059311-155074497	SQ	IV	OK	38.6996	19.4087	-0.995611	-2.64972	5.00E-05	0.00109214	yes
Akap8l	Akap8l	Akap8l	chr17:32321423-32350577	SQ	IV	OK	25.2788	56.87	1.16974	3.15296	5.00E-05	0.00109214	yes
Akap9	Akap9	Akap9	chr5:3928185-4080204	SQ	IV	OK	3.86333	7.4342	0.944335	2.48816	5.00E-05	0.00109214	yes
Alcam	Alcam	Alcam	chr16:52248995-52453081	SQ	IV	OK	4.49869	1.6019	-1.48972	-2.56722	5.00E-05	0.00109214	yes
Als2cl	Als2cl	Als2cl	chr9:110880173-110900530	SQ	IV	OK	2.89425	7.02475	1.27926	2.55203	5.00E-05	0.00109214	yes
Ankrd12	Ankrd12	Ankrd12	chr17:65967500-66077046	SQ	IV	OK	4.1942	8.45705	1.01176	2.56982	5.00E-05	0.00109214	yes
Anxa1	Anxa1	Anxa1	chr19:20373433-20390671	SQ	IV	OK	20.3271	3.15895	-2.68589	-3.66687	5.00E-05	0.00109214	yes
Anxa5	Anxa5	Anxa5	chr3:36448923-36475887	SQ	IV	OK	140.63	223.053	0.665487	2.10566	5.00E-05	0.00109214	yes
Apol7b	Apol7b	Apol7b	chr15:77422208-77447460	SQ	IV	OK	7.17212	23.2588	1.69731	3.54898	5.00E-05	0.00109214	yes
Apol7e	Apol7e	Apol7e	chr15:77698888-77719288	SQ	IV	OK	13.0301	42.2519	1.69717	4.1085	5.00E-05	0.00109214	yes
Arhgap15	Arhgap15	Arhgap15	chr2:43748823-44395953	SQ	IV	OK	56.3661	101.572	0.849598	2.5502	5.00E-05	0.00109214	yes
Arhgap19	Arhgap19	Arhgap19	chr19:41766587-41802084	SQ	IV	OK	38.7927	19.5837	-0.986133	-2.86465	5.00E-05	0.00109214	yes
Arsb	Arsb	Arsb	chr13:93771678-93943016	SQ	IV	OK	17.6639	5.35149	-1.72279	-3.91981	5.00E-05	0.00109214	yes
Art2b	Art2b	Art2b	chr7:101575728-101581161	SQ	IV	OK	1.49182	9.7891	2.7141	4.38352	5.00E-05	0.00109214	yes
Art4	Art4	Art4	chr6:136848450-136857600	SQ	IV	OK	1.39953	7.65688	2.45181	3.03488	5.00E-05	0.00109214	yes
Asf1b	Asf1b	Asf1b	chr8:83955693-83970195	SQ	IV	OK	515.111	299.457	-0.782538	-2.48949	5.00E-05	0.00109214	yes
Atad5	Atad5	Atad5	chr11:80089399-80135791	SQ	IV	OK	11.4554	6.1987	-0.885995	-2.31039	5.00E-05	0.00109214	yes
